,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_max_depth,param_max_features,param_min_impurity_decrease,param_min_samples_leaf,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
0,0.5098217487335205,0.023726399896470164,0.03454923629760742,0.0023915151043923865,0,3,0.25,0.01,1,400,"{'ccp_alpha': 0, 'max_depth': 3, 'max_features': 0.25, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 400}",0.18786908403812563,0.08398797767425759,0.22817442903796348,0.1272834225424324,0.09874531971622846,0.1452120466018015,0.05464679062212753,15,0.3517869099451404,0.380722603256337,0.34089903765411134,0.3764984750249506,0.3792495161705256,0.36583130841021305,0.016336772377559657,-5.070340574159237,-6.3201028036408085,-6.642335742238837,-4.545030742964787,-4.2902815131748255,-5.373618275235699,0.9442065638647785,15,-4.8711129628264604,-4.537278343207667,-4.459449755491047,-4.918661645217041,-4.909405372680412,-4.739181615884526,0.19880137517111968
1,0.489748477935791,0.009101280712231478,0.03279170989990234,0.006346827676315398,0,4,0.25,0.01,1,400,"{'ccp_alpha': 0, 'max_depth': 4, 'max_features': 0.25, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 400}",0.24718824053537658,0.12072385572227273,0.2830510772631071,0.14805315810761943,0.1265045719257636,0.18510418071082788,0.06693212039052558,14,0.4661174944843084,0.4976979600740876,0.4542586795471477,0.4994418297751959,0.505209566295201,0.48454510603518813,0.02039006798555585,-4.873833984609196,-6.171328251769555,-6.295862598560756,-4.455750749982183,-4.088522482958552,-5.1770596135760485,0.8986028697483948,14,-4.402056571028327,-4.089592899161267,-4.064668678118517,-4.434658390643009,-4.400315061292411,-4.278258320048706,0.16486358802904288
2,0.5033636093139648,0.01652178261209501,0.036349248886108396,0.007710830285460233,0,5,0.25,0.01,1,400,"{'ccp_alpha': 0, 'max_depth': 5, 'max_features': 0.25, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 400}",0.28367389802199894,0.15225750874762034,0.30046306318538685,0.20167698652412447,0.15728243010699328,0.21907077731722477,0.0622617443856508,13,0.5662533293559238,0.6095603906535652,0.5665014894282867,0.607157183193416,0.6029273312447516,0.5904799447751886,0.01979407154475828,-4.783891514814153,-6.0837180215847,-6.1269069412519475,-4.22297632073364,-3.901026505845258,-5.02370386084594,0.927336622356617,13,-3.967241741974405,-3.6261926452501694,-3.6432392499034694,-3.9405597475595813,-3.948423050895552,-3.8251312871166356,0.1558083863629021
3,0.5080517292022705,0.01373414333720783,0.034707498550415036,0.0030886581321117033,0,6,0.25,0.01,1,400,"{'ccp_alpha': 0, 'max_depth': 6, 'max_features': 0.25, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 400}",0.3708991770168236,0.1916098918374768,0.31269362705396686,0.22401675458244963,0.19700494028961557,0.2592448781560665,0.07072873976438657,12,0.6553324928212605,0.7051113671676514,0.6321118345281913,0.6941041718468637,0.693092112087169,0.6759503956902272,0.02764300146784826,-4.514631363423351,-5.881818662400907,-6.031822493643267,-4.085572321868674,-3.7065591719268687,-4.8440808026526145,0.9450352055739403,12,-3.481788330432088,-3.1409224465106615,-3.326204071698025,-3.4882424700632124,-3.4756596929511505,-3.382563402331028,0.13509055978846993
4,0.5143940448760986,0.015882215785799094,0.033576440811157224,0.002049926738731063,0,7,0.25,0.01,1,400,"{'ccp_alpha': 0, 'max_depth': 7, 'max_features': 0.25, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 400}",0.3797559123052583,0.16774092895615167,0.3282621270414451,0.25668286704836296,0.20651015003864281,0.26779039707797214,0.0775650033158072,11,0.7182691349629022,0.760390116957914,0.7242678799219175,0.7591297321146184,0.7556567525668886,0.7435427233048482,0.018351093028010298,-4.436068519673214,-5.891647417437314,-5.871903366949606,-3.9411305779039276,-3.59235971084301,-4.746621918561415,0.9648754001180466,11,-3.121751189007375,-2.817533670114593,-2.8671990686466855,-3.111689125955861,-3.094804391293657,-3.0025954890036344,0.13204700040847
5,0.5294620990753174,0.029614110039877083,0.035975980758666995,0.0059217477192654005,0,8,0.25,0.01,1,400,"{'ccp_alpha': 0, 'max_depth': 8, 'max_features': 0.25, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 400}",0.40071743340068944,0.20644131219575867,0.3454154632588141,0.26703529246602853,0.22847566702860833,0.2896170336699798,0.0729700842239306,10,0.7735170834810263,0.8199419222625934,0.7690020177328393,0.8079881888739955,0.8060229457556448,0.7952944316212199,0.0202448769012738,-4.338570785385304,-5.699173174330816,-5.823316302721222,-3.8120497695960345,-3.4234484456742056,-4.6193116955415165,0.977374451843583,10,-2.7754894585954264,-2.4334998534399572,-2.6226590905340226,-2.718399004530722,-2.7529590166836346,-2.660601284756752,0.12496758760119032
6,0.547217845916748,0.021780732623671,0.035639190673828126,0.004709333080589819,0,9,0.25,0.01,1,400,"{'ccp_alpha': 0, 'max_depth': 9, 'max_features': 0.25, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 400}",0.4142661922336276,0.2296882681239828,0.3176591772623253,0.2531177701220657,0.23946463213200908,0.2908392079748021,0.06892782102628127,9,0.8167602606504274,0.8475493276862465,0.8174395678797031,0.8423075378510169,0.8431517540993567,0.8334416896333501,0.01346292718182102,-4.30109690214404,-5.531875352241474,-5.80950804196169,-3.8117567335142146,-3.3453751121854682,-4.559922428409378,0.960002545325153,9,-2.4456106599393745,-2.199979899493959,-2.2934745412512045,-2.443331000101461,-2.444044260265004,-2.365288072210201,0.10122146911189982
7,0.5230457305908203,0.0038649095788340308,0.03506889343261719,0.003468213409258042,0,10,0.25,0.01,1,400,"{'ccp_alpha': 0, 'max_depth': 10, 'max_features': 0.25, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 400}",0.4369666484058674,0.23704835304874283,0.36478891240577727,0.27245985077482926,0.25092105168805645,0.31243696326465464,0.07656916939689885,8,0.8463282927119926,0.8687443064535157,0.8316903897601656,0.8719860385409908,0.8664924633025473,0.8570482981538424,0.015537483632501594,-4.200496089020852,-5.4266923471971245,-5.5688381279843755,-3.6519401150492823,-3.3514561824367775,-4.439884572337682,0.9067706864460137,8,-2.2351041763955077,-1.9990366278942293,-2.1505017727557028,-2.139548057777954,-2.2454181766672656,-2.1539217622981317,0.08850975400542553
8,0.5626177787780762,0.02993903520232873,0.0344944953918457,0.003974897328891348,0,11,0.25,0.01,1,400,"{'ccp_alpha': 0, 'max_depth': 11, 'max_features': 0.25, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 400}",0.4511163333844329,0.25553235409667807,0.3368894388923427,0.2903151050106645,0.29117768280492085,0.3250061828378078,0.06814606814862594,4,0.8635058887827212,0.8915898004283609,0.866695658440623,0.8851501832606508,0.8815518604130244,0.8776986782650761,0.010824388508062666,-4.151849594913398,-5.345795855812101,-5.687278084120396,-3.6095200638825804,-3.1868052924503094,-4.396249778235758,0.9705485971642059,7,-2.0899910304217184,-1.7930990248776253,-1.8999121817050304,-2.005454852015824,-2.073842236381841,-1.972459865080408,0.1119054123458187
9,0.5382963180541992,0.010686881416675245,0.03308372497558594,0.0034722287815484067,0,12,0.25,0.01,1,400,"{'ccp_alpha': 0, 'max_depth': 12, 'max_features': 0.25, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 400}",0.4882123233402029,0.2490457513033293,0.34693109362255004,0.26113960162972394,0.2651916906637245,0.32210409211190616,0.09000170685698806,6,0.8801223250417246,0.8977623088157648,0.8766344024920786,0.8951303057793679,0.8943047395061863,0.8887908163270245,0.008648714254817063,-3.9409141763030346,-5.374028466081804,-5.603957271618634,-3.6376369654434564,-3.155544998787761,-4.342416375646938,0.9718323554680428,6,-1.9478475516293736,-1.7405029392493034,-1.779133807468005,-1.9105143302643655,-1.9337083572781466,-1.8623413971778386,0.08543218332798379
