,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
0,0.23433914184570312,0.006875199644972899,0.0029987335205078126,0.000217355202183044,0.9,400,0.5,10,0.02,5,0.3,1,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 0.5, 'max_depth': 10, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.4510887424238096,0.5236993167185326,0.19645511320519504,0.30407725195370316,0.2943795201244114,0.35393998888513034,0.1175511273802013,39,0.9146782168434752,0.9044053849397654,0.913421634250117,0.9056256000618501,0.916582440992265,0.9109426554174945,0.004958102852971692,-1.3687721344828605,-1.642888788792395,-1.7173069439395778,-1.4773416005411455,-1.4966048320647207,-1.54058285996414,0.12421783620084659,43,-0.6631406942490609,-0.6377848858070373,-0.6257219613456726,-0.6792460662651063,-0.6538114103889465,-0.6519410036111647,0.01877408739214038
1,0.23186345100402833,0.004442714453325532,0.0028761863708496095,0.00010944816191864134,1,400,0.5,10,0.02,5,0.3,1,"{'subsample': 1, 'n_estimators': 400, 'min_child_weight': 0.5, 'max_depth': 10, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.524667276745593,0.5257444641571642,0.20829871311275316,0.31965081300105647,0.24671275118122482,0.36501480363955835,0.1355995104943142,13,0.91944312693014,0.9071911053037208,0.9150343095653466,0.908812605603534,0.9217803880631151,0.9144523070931714,0.0057180252630446874,-1.2712533593177795,-1.6099863307706772,-1.727386789321899,-1.5048568271821545,-1.5271600034159998,-1.528128662001702,0.15028766879802474,37,-0.6486977204392033,-0.6301965707778932,-0.6255182035255433,-0.6749153317832948,-0.6362057259750367,-0.6431067105001942,0.017701404761955804
2,0.23141822814941407,0.008357901235515833,0.0028947830200195313,0.00011423326567664342,0.9,400,1,10,0.02,5,0.3,1,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.4510887424238096,0.5236993167185326,0.19645511320519504,0.30407725195370316,0.2943795201244114,0.35393998888513034,0.1175511273802013,39,0.9146782168434752,0.9044053849397654,0.913421634250117,0.9056256000618501,0.916582440992265,0.9109426554174945,0.004958102852971692,-1.3687721344828605,-1.642888788792395,-1.7173069439395778,-1.4773416005411455,-1.4966048320647207,-1.54058285996414,0.12421783620084659,43,-0.6631406942490609,-0.6377848858070373,-0.6257219613456726,-0.6792460662651063,-0.6538114103889465,-0.6519410036111647,0.01877408739214038
3,0.16339449882507323,0.03758307441326274,0.002238750457763672,0.0004941778675396926,1,400,1,10,0.02,5,0.3,1,"{'subsample': 1, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.524667276745593,0.5257444641571642,0.20829871311275316,0.31965081300105647,0.24671275118122482,0.36501480363955835,0.1355995104943142,13,0.91944312693014,0.9071911053037208,0.9150343095653466,0.908812605603534,0.9217803880631151,0.9144523070931714,0.0057180252630446874,-1.2712533593177795,-1.6099863307706772,-1.727386789321899,-1.5048568271821545,-1.5271600034159998,-1.528128662001702,0.15028766879802474,37,-0.6486977204392033,-0.6301965707778932,-0.6255182035255433,-0.6749153317832948,-0.6362057259750367,-0.6431067105001942,0.017701404761955804
4,0.145180082321167,0.004622672179688697,0.0020396232604980467,7.437244305084976e-05,0.9,400,0.5,12,0.02,5,0.3,1,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 0.5, 'max_depth': 12, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.46177573427419893,0.514693797757076,0.18892683286142542,0.3055100407288731,0.28985014016395383,0.35215130915710546,0.1192783705648526,41,0.9143145259612446,0.9059883382847221,0.915476011692281,0.906333736032454,0.9210135318198931,0.912625228758119,0.005744136358188706,-1.354703449010849,-1.6360914020384514,-1.7166914279230177,-1.4762589302370626,-1.507443684839433,-1.5382377788097628,0.12640849700032553,41,-0.6629633987911285,-0.6305624994468688,-0.6178442268943786,-0.6779019477272034,-0.633513013458252,-0.6445570172635662,0.022280345539711924
5,0.14364471435546874,0.004405248684741135,0.001969432830810547,5.341397801275537e-05,1,400,0.5,12,0.02,5,0.3,1,"{'subsample': 1, 'n_estimators': 400, 'min_child_weight': 0.5, 'max_depth': 12, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.5356198953597124,0.5132110390276434,0.21196393090400545,0.31549981103242364,0.2556435351785665,0.36638764230047033,0.13333954895443723,11,0.9180911040989682,0.9089759879027446,0.9158168696221017,0.9097777420434344,0.9230239201769077,0.9151371247688314,0.005254943947126632,-1.2554047222435474,-1.6373058812848984,-1.7178913982452881,-1.5167327603986187,-1.5142948126792908,-1.5283259149703288,0.15660712372751612,39,-0.6561582838527618,-0.6260648789978027,-0.6208655078697205,-0.6701043397521972,-0.632287363357544,-0.6410960747660053,0.01887408625564129
6,0.14649062156677245,0.005943839750310219,0.001966524124145508,3.8522835597374715e-05,0.9,400,1,12,0.02,5,0.3,1,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.46177573427419893,0.514693797757076,0.18892683286142542,0.3055100407288731,0.28985014016395383,0.35215130915710546,0.1192783705648526,41,0.9143145259612446,0.9059883382847221,0.915476011692281,0.906333736032454,0.9210135318198931,0.912625228758119,0.005744136358188706,-1.354703449010849,-1.6360914020384514,-1.7166914279230177,-1.4762589302370626,-1.507443684839433,-1.5382377788097628,0.12640849700032553,41,-0.6629633987911285,-0.6305624994468688,-0.6178442268943786,-0.6779019477272034,-0.633513013458252,-0.6445570172635662,0.022280345539711924
7,0.14829373359680176,0.004726842451739426,0.001926088333129883,6.795550200907227e-05,1,400,1,12,0.02,5,0.3,1,"{'subsample': 1, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.5356198953597124,0.5132110390276434,0.21196393090400545,0.31549981103242364,0.2556435351785665,0.36638764230047033,0.13333954895443723,11,0.9180911040989682,0.9089759879027446,0.9158168696221017,0.9097777420434344,0.9230239201769077,0.9151371247688314,0.005254943947126632,-1.2554047222435474,-1.6373058812848984,-1.7178913982452881,-1.5167327603986187,-1.5142948126792908,-1.5283259149703288,0.15660712372751612,39,-0.6561582838527618,-0.6260648789978027,-0.6208655078697205,-0.6701043397521972,-0.632287363357544,-0.6410960747660053,0.01887408625564129
8,0.13313980102539064,0.005437719106162969,0.0017650604248046875,1.9421033643250067e-05,0.9,400,0.5,10,0.03,5,0.3,1,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 0.5, 'max_depth': 10, 'learning_rate': 0.03, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.4035170738027888,0.5115123999050701,0.15420511858471841,0.2820065390384947,0.2539425907073142,0.32103674440767727,0.12404979148789236,47,0.9208297210686597,0.9147962260897284,0.920367538385123,0.9134150665237478,0.9249451054164501,0.9188707314967418,0.0042271021783192265,-1.40755191847682,-1.6253499490214933,-1.7398380265697353,-1.5186031330016347,-1.5183866457785329,-1.5619459345696431,0.1124981668631109,47,-0.6446463455500142,-0.597354806613922,-0.6073219513320923,-0.645648979959488,-0.6258473043060303,-0.6241638775523095,0.019423448765581348
9,0.13287138938903809,0.008922541090472212,0.001692056655883789,5.032586445749956e-05,1,400,0.5,10,0.03,5,0.3,1,"{'subsample': 1, 'n_estimators': 400, 'min_child_weight': 0.5, 'max_depth': 10, 'learning_rate': 0.03, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.524727931546785,0.5295919523913382,0.17164860253344416,0.31929686936508583,0.23851906348950536,0.3567568838652317,0.1467887900643809,33,0.9226420884074467,0.9125792704779375,0.9169951093889819,0.9126150866967762,0.9233101672369959,0.9176283444416276,0.004657201446615316,-1.276731857806444,-1.5804720833993728,-1.7437892973038456,-1.5128223111552577,-1.5208475082920443,-1.526932611591393,0.15015315077265967,35,-0.6364711575546572,-0.6107980379486084,-0.6117123349952699,-0.657156145248413,-0.627662449054718,-0.6287600249603333,0.01720617677885022
