,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_min_impurity_decrease,param_max_features,param_max_depth,param_ccp_alpha,param_bootstrap,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,split5_train_r2,split6_train_r2,split7_train_r2,split8_train_r2,split9_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,split5_train_neg_mean_absolute_error,split6_train_neg_mean_absolute_error,split7_train_neg_mean_absolute_error,split8_train_neg_mean_absolute_error,split9_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
81,1.203768587,0.016457881,0.095044708,0.007470067,800,1,0,0.3,7,0.1,TRUE,"{'n_estimators': 800, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 0.3, 'max_depth': 7, 'ccp_alpha': 0.1, 'bootstrap': True}",0.872735833,0.804392988,0.514793443,0.566358366,0.685194408,0.595059663,0.252208816,0.550956225,0.570345593,0.601050808,0.601309614,0.16001971,179,0.857851447,0.862216014,0.880321305,0.861043902,0.861014052,0.860779568,0.880775685,0.874893163,0.871814663,0.872347957,0.868305775,0.00825132,-7.315174339,-12.86848712,-19.86253951,-16.2114282,-12.29301541,-14.72053766,-19.84941534,-11.62118868,-16.90054028,-16.85851271,-14.85008393,3.713383576,217,-9.594125102,-9.219040033,-8.663385842,-9.179088654,-9.340943651,-9.57626899,-8.413829551,-9.202852908,-8.783695366,-9.18427226,-9.115750236,0.364167739
82,1.227575397,0.014914988,0.08879621,0.006351897,800,1,0.05,0.6,,0.05,FALSE,"{'n_estimators': 800, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'max_features': 0.6, 'max_depth': None, 'ccp_alpha': 0.05, 'bootstrap': False}",0.831874677,0.8382008,0.420453119,0.413231032,0.272655788,0.319976436,0.102739714,0.580022666,0.70311686,0.299981257,0.478225235,0.237321076,475,0.999849997,0.999814849,0.999840522,0.999822711,0.99984226,0.999859986,0.99985695,0.999824713,0.999850564,0.999859409,0.999842196,1.55E-05,-6.754274526,-7.277230105,-19.14808914,-17.46629207,-15.48016217,-15.86011294,-18.75417039,-9.206917396,-11.46780959,-19.04215385,-14.04572122,4.682469987,122,-0.346337059,-0.366408653,-0.367144456,-0.367931911,-0.361079586,-0.349785117,-0.345720559,-0.364871083,-0.355367887,-0.349181994,-0.357382831,0.008630379
83,1.302331519,0.246447455,0.098049188,0.017062666,800,4,0.01,,10,0.1,FALSE,"{'n_estimators': 800, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.01, 'max_features': None, 'max_depth': 10, 'ccp_alpha': 0.1, 'bootstrap': False}",0.677653782,0.704184851,0.253523942,0.538477472,0.27888141,0.25316658,0.067717019,0.4908527,0.5798444,0.812191449,0.46564936,0.228974816,483,0.838605746,0.813687633,0.82095129,0.860284831,0.839391658,0.837421925,0.821726503,0.819790053,0.833098918,0.8082506,0.829320916,0.014605521,-10.3919091,-13.11235106,-23.95254809,-15.54573566,-14.73332507,-16.36282104,-20.23891908,-12.10064443,-16.03009074,-8.836803488,-15.13051478,4.264977546,251,-8.668833133,-9.245159466,-8.450751477,-7.020493233,-8.076304295,-8.073776951,-8.779426213,-9.042314882,-8.753756439,-9.191400965,-8.530221705,0.63575118
84,0.914508796,0.011486851,0.093154478,0.014867822,800,4,0,0.3,,0.1,FALSE,"{'n_estimators': 800, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'max_features': 0.3, 'max_depth': None, 'ccp_alpha': 0.1, 'bootstrap': False}",0.857770023,0.802280058,0.523478111,0.550811316,0.663299202,0.603536545,0.406940724,0.568273865,0.537312523,0.65451697,0.616821934,0.127282169,66,0.834672828,0.832386936,0.840093431,0.852754563,0.846284497,0.848103061,0.842877862,0.844373198,0.846887703,0.839742645,0.842817673,0.005913548,-7.238953477,-12.95738564,-20.48713429,-15.88126875,-12.3858364,-14.09979837,-17.02083811,-11.15276074,-17.33518022,-15.75019146,-14.43093475,3.529846258,173,-9.54129155,-9.775703912,-9.019336168,-9.094159497,-9.112556126,-9.377895821,-9.041078769,-9.342917548,-8.861662576,-9.306349037,-9.2472951,0.260795964
85,0.956726313,0.015426513,0.101169848,0.021041702,800,1,0,0.4,7,0.05,FALSE,"{'n_estimators': 800, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 0.4, 'max_depth': 7, 'ccp_alpha': 0.05, 'bootstrap': False}",0.853095299,0.818619618,0.515370987,0.50727474,0.598113801,0.584606553,0.308902037,0.562600754,0.614022416,0.514070858,0.587667706,0.148340367,276,0.884669392,0.891967778,0.913190153,0.88419878,0.886477269,0.87693959,0.895489068,0.9056361,0.89540353,0.8943156,0.892828726,0.010144614,-7.045363395,-10.87871405,-18.87571012,-16.84190733,-12.91981267,-13.84841615,-19.24666767,-10.59655073,-15.11521682,-18.26491312,-14.36332721,3.851912246,166,-7.545841166,-6.957565518,-6.735777661,-7.460995893,-7.367708637,-8.044242631,-7.221510945,-7.107897297,-7.135052571,-7.497296965,-7.307388928,0.344833162
86,1.092988133,0.017783687,0.093779969,0.010724449,800,1,0,0.4,,0,FALSE,"{'n_estimators': 800, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 0.4, 'max_depth': None, 'ccp_alpha': 0, 'bootstrap': False}",0.858514875,0.854269365,0.438450365,0.44071881,0.431654751,0.317811309,0.144548903,0.587219155,0.675862499,0.373020596,0.512207063,0.218796717,457,1,1,1,1,1,1,1,1,1,1,1,3.15E-11,-5.740031771,-7.047397396,-18.78060052,-16.38470938,-13.33377292,-16.13943315,-18.20703478,-9.351451223,-12.52181413,-18.7153163,-13.62215616,4.608985789,37,-3.07E-13,-3.04E-13,-4.53E-05,-8.29E-06,-3.00E-13,-5.90E-07,-1.57E-05,-3.13E-06,-1.57E-05,-5.60E-05,-1.45E-05,1.91E-05
87,1.509589362,0.016457858,0.123848152,0.027444381,1000,4,0,0.4,10,0.01,TRUE,"{'n_estimators': 1000, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'max_features': 0.4, 'max_depth': 10, 'ccp_alpha': 0.01, 'bootstrap': True}",0.844812316,0.736946968,0.512345637,0.543176439,0.701651937,0.678211378,0.345000292,0.542601133,0.515417516,0.67495072,0.609511434,0.136468493,119,0.763997985,0.759948427,0.782747638,0.782605822,0.772175908,0.77364865,0.781056609,0.780660883,0.785393871,0.773486617,0.775572241,0.008068746,-8.599641549,-16.43228203,-21.3041853,-17.56452767,-11.91104042,-13.00999626,-17.98753443,-13.2479161,-18.75030259,-16.13915353,-15.49465799,3.574186563,277,-12.30985736,-12.1750598,-11.05936324,-11.75263401,-12.19611377,-12.05693275,-11.2642763,-11.92141977,-11.28637634,-12.01338716,-11.80354205,0.422527137
88,1.528895402,0.011147439,0.09238975,0.011091799,800,1,0.01,,10,0.01,TRUE,"{'n_estimators': 800, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.01, 'max_features': None, 'max_depth': 10, 'ccp_alpha': 0.01, 'bootstrap': True}",0.866921854,0.814495708,0.466130479,0.536663433,0.612388156,0.459033316,0.193460502,0.556033023,0.584169281,0.524729469,0.561402522,0.17816829,392,0.934318726,0.931699827,0.94164057,0.938182352,0.936303819,0.934556579,0.940917453,0.936813813,0.937557747,0.93545875,0.936744963,0.002865067,-6.20699619,-10.7841063,-19.73177669,-16.17407398,-12.3979988,-15.85356123,-19.01018519,-9.998438193,-15.18953346,-17.49502948,-14.28416995,4.105995461,159,-6.149651506,-6.068440678,-5.424598161,-5.891006116,-6.000699859,-6.033413491,-5.451969254,-6.066770766,-5.764905578,-5.988401389,-5.88398568,0.244288829
89,1.102835703,0.025860257,0.109467864,0.00620877,1000,2,0.01,0.3,13,0,FALSE,"{'n_estimators': 1000, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.01, 'max_features': 0.3, 'max_depth': 13, 'ccp_alpha': 0, 'bootstrap': False}",0.868310419,0.846190131,0.494501236,0.536125503,0.644163471,0.533614337,0.324411428,0.579805445,0.606703688,0.591762253,0.602558791,0.151845868,172,0.927920466,0.929962938,0.928506783,0.934165582,0.931879394,0.934917151,0.929018288,0.935042427,0.931667515,0.93608535,0.931916589,0.002847576,-5.886528618,-9.015475138,-19.36522113,-15.38899398,-11.73626057,-14.39813244,-17.1281271,-9.514287076,-14.89703998,-16.26949835,-13.35995644,3.980419315,13,-5.607877196,-5.495156386,-5.358528434,-5.238929557,-5.435043801,-5.476088235,-5.430543691,-5.335607786,-5.329984425,-5.255159481,-5.396291899,0.108522561
90,1.585557628,0.021404661,0.111353612,0.007674979,1000,1,0.1,0.3,,0.1,TRUE,"{'n_estimators': 1000, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'max_features': 0.3, 'max_depth': None, 'ccp_alpha': 0.1, 'bootstrap': True}",0.883652893,0.830873252,0.487205438,0.564579877,0.646840205,0.532395804,0.246930477,0.561461458,0.604670473,0.58802196,0.594663184,0.167489322,228,0.943617579,0.944231153,0.949182837,0.951249884,0.949517101,0.948800741,0.952600389,0.947958725,0.951928344,0.950547693,0.948963445,0.002865643,-5.521276695,-10.33743909,-19.63514138,-15.08911654,-11.55623166,-14.39644933,-18.13984738,-10.17855112,-15.1578044,-16.62364844,-13.6635506,4.039890325,43,-5.620347098,-5.464228921,-4.821868187,-5.127427765,-5.183579922,-5.195760705,-4.884035164,-5.262155962,-5.000143086,-5.113201968,-5.167274878,0.231411124
