,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,split5_train_r2,split6_train_r2,split7_train_r2,split8_train_r2,split9_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,split5_train_neg_mean_absolute_error,split6_train_neg_mean_absolute_error,split7_train_neg_mean_absolute_error,split8_train_neg_mean_absolute_error,split9_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
0,0.09978725910186767,0.004061563292129801,0.0009936809539794922,0.00013564792738702584,1,300,0.5,5,0.08,800,0.6,0.8,10,"{'subsample': 1, 'n_estimators': 300, 'min_child_weight': 0.5, 'max_depth': 5, 'learning_rate': 0.08, 'gamma': 800, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'alpha': 10}",0.8361733978494041,0.795738429963645,0.4924972100358488,0.6573389926056734,0.6178490191943715,0.5949128940782584,0.385100280931994,0.5973679258835412,0.6086198557960327,0.5625466311550045,0.6148144637493773,0.12439922561333153,1,0.9407226501569492,0.9286097793725984,0.9459503991613147,0.938263970261418,0.9488509147495428,0.9437776560658693,0.9390716529989738,0.9369461203557086,0.9427733597110519,0.9373286509720429,0.940229515380547,0.0053458267978978,-8.244251387119293,-11.501059146722158,-19.429869550069174,-14.388941136995951,-11.724769742091496,-14.213857438875278,-17.616739924886954,-9.999299150964486,-15.42508915279223,-18.802534721623296,-14.13464113521403,3.5809337499173446,9,-6.619181232604936,-6.746352698271873,-6.097156222561524,-6.452325877860823,-5.875865650402991,-6.4458461064606345,-6.286584591415693,-6.585973661485708,-6.23199289768372,-6.56374104171429,-6.3905019980462185,0.2531513953523892
1,0.11789608001708984,0.004917262927809903,0.0010447025299072266,0.00011994292533584888,1,300,0.5,6,0.08,800,0.6,0.8,10,"{'subsample': 1, 'n_estimators': 300, 'min_child_weight': 0.5, 'max_depth': 6, 'learning_rate': 0.08, 'gamma': 800, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'alpha': 10}",0.8362017430503956,0.8198650694578831,0.48913534114767687,0.6811100605079533,0.5970813701078019,0.521610453239111,0.2763243799345332,0.5699727582232013,0.5699493406837672,0.5357165625591529,0.5896967078911476,0.15453042825698468,11,0.9483981624179731,0.9444493265197299,0.9544481890851604,0.9559849330474366,0.9544089441313407,0.9569739568156677,0.9572673658393461,0.9434185981439819,0.9532473667146347,0.9520757377134483,0.952067258042872,0.004746625196631209,-8.34347616593043,-10.570215637683868,-19.357138033310573,-14.177353866100312,-11.96357595860958,-15.611276376973025,-18.171787174059,-10.178127887559972,-15.974193036037946,-18.7592289028997,-14.31063730391644,3.6990073886905774,11,-6.301589111485187,-6.135174830016366,-5.750572878715552,-5.522025802169366,-5.524606070925275,-5.65428416375844,-5.3241209938841045,-6.223560418239179,-5.613132442179716,-5.8139450267856985,-5.786301173815888,0.31302125254177077
2,0.13241198062896728,0.004151507789802858,0.0009684562683105469,3.295010319014848e-05,1,300,0.5,7,0.08,800,0.6,0.8,10,"{'subsample': 1, 'n_estimators': 300, 'min_child_weight': 0.5, 'max_depth': 7, 'learning_rate': 0.08, 'gamma': 800, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'alpha': 10}",0.8303936118182734,0.833984910374919,0.49499399341737893,0.6660589791978043,0.6055328629746055,0.581345612431343,0.3169067441054614,0.5814069416643004,0.550267711757106,0.5853129545839861,0.6046204322325178,0.14372258791059597,8,0.9539555273513162,0.9509305786562985,0.9588053324493,0.9571114549943566,0.9628372397758085,0.9553849570234138,0.9601046528939174,0.9526795988812355,0.9618803042108651,0.9551611314136025,0.9568850777650114,0.0037607384876794884,-8.389630791346232,-10.207223248481752,-19.5478699640433,-14.228456947008768,-11.74592801451683,-14.348935548948203,-17.098751064383467,-10.245264557548188,-16.331982240676883,-17.718283555404,-13.98623259323576,3.533514159417638,2,-5.909592675236163,-5.7083650425542585,-5.48310690622194,-5.5091314365513515,-5.05291127581732,-5.802692097965276,-5.230206637292539,-5.676655364283976,-5.109320260668701,-5.59639724800047,-5.5078378944591995,0.27719417063141166
3,0.15034470558166504,0.0072754340391910895,0.0009894132614135741,5.8078242246337595e-05,1,300,0.5,8,0.08,800,0.6,0.8,10,"{'subsample': 1, 'n_estimators': 300, 'min_child_weight': 0.5, 'max_depth': 8, 'learning_rate': 0.08, 'gamma': 800, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'alpha': 10}",0.8372209375186305,0.8343462725613676,0.4782961948153578,0.6487671617206678,0.6124699965414637,0.5777416052007154,0.33631984536809556,0.5795795271024937,0.5737433132051231,0.6151145599389407,0.6093599413972857,0.14107407133352662,5,0.9632841729503315,0.9604010067049552,0.9635185198554856,0.9604857352939694,0.9678419263002943,0.9621702383182149,0.9659769804220835,0.9581138540364421,0.9633131963037888,0.9590284976486905,0.9624134127834255,0.002876205435070529,-8.546475109259287,-9.95384149948756,-20.72592497229576,-14.109064770539602,-12.68650817076365,-14.172644267289533,-17.427276203321377,-10.085903986225956,-15.511784382695737,-16.85484388683153,-14.007426724871,3.614122367674269,3,-5.182261114052687,-5.178500765036633,-5.097155007457282,-5.242478322914991,-4.789043970085433,-5.360092475211845,-4.963604131374718,-5.466978694740331,-5.178104527491443,-5.382806256537168,-5.1841025264902525,0.19136449968162036
4,0.1719581365585327,0.004578822602019784,0.0011902809143066405,0.00021266202742888858,1,300,0.5,9,0.08,800,0.6,0.8,10,"{'subsample': 1, 'n_estimators': 300, 'min_child_weight': 0.5, 'max_depth': 9, 'learning_rate': 0.08, 'gamma': 800, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'alpha': 10}",0.7932782075739447,0.8345174503686876,0.4841095309088598,0.6656449641075242,0.5644323824595538,0.5656580792773237,0.2930618443793044,0.5687368120708387,0.5846355188028853,0.6376856776954805,0.5991760467644404,0.1446986841742191,10,0.9657922027181564,0.9581374957276622,0.9669692241872384,0.964814729714027,0.9670316127829995,0.9606451382963352,0.9671871964379625,0.9586559556917009,0.9665408611530769,0.9613023182499357,0.9637076734959095,0.003451126510301252,-9.00819540341695,-9.520819007555643,-20.784284189939502,-13.950541146596272,-13.26354611635208,-14.455671008566151,-18.10630152329155,-10.322588955423106,-15.484698740088422,-15.78557746887207,-14.068222356010176,3.5705920037285686,6,-5.013117208119253,-5.456334212922371,-4.8500496658668695,-4.916882778208403,-4.932620957135024,-5.4757047563453884,-4.805322589761806,-5.569550144582424,-4.929580254127395,-5.284987204749629,-5.123414977181856,0.2765487739490159
5,0.19216532707214357,0.0040682520453354945,0.0011094093322753906,0.00018530010379092898,1,300,0.5,10,0.08,800,0.6,0.8,10,"{'subsample': 1, 'n_estimators': 300, 'min_child_weight': 0.5, 'max_depth': 10, 'learning_rate': 0.08, 'gamma': 800, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'alpha': 10}",0.8182313349376178,0.8276622390469011,0.5018768866766465,0.6379610453323012,0.6386261708454073,0.5746815858608069,0.27710040249636536,0.5764575585940555,0.592702441642236,0.6664403218542538,0.6111739987286592,0.14855792977884305,2,0.9637753774588528,0.9637354845856134,0.968072897964543,0.9650771370440346,0.9694071416585348,0.9646612275105347,0.9688020907641445,0.9637224238658283,0.9670570577434192,0.9663785526414231,0.9660689391236928,0.0020707171806959674,-9.09012447675069,-9.414781297047933,-20.079402509530386,-14.635069478352863,-12.41447402238846,-14.017055867236593,-18.625612783846652,-10.227036548282788,-15.483094701352329,-15.292894678530487,-13.927954636331918,3.527868023098124,1,-5.25149341517715,-5.0554928935986565,-4.84412822298529,-5.070712102962331,-4.737584121464553,-5.07148317606944,-4.7833201001275265,-5.117272602792056,-4.905085669508521,-4.9909161244698295,-4.9827488429155355,0.15375786625572532
6,0.2177405595779419,0.006999705015880363,0.0010811567306518554,0.00013487767213926413,1,300,0.5,11,0.08,800,0.6,0.8,10,"{'subsample': 1, 'n_estimators': 300, 'min_child_weight': 0.5, 'max_depth': 11, 'learning_rate': 0.08, 'gamma': 800, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'alpha': 10}",0.8046469914488513,0.8058197375286515,0.5015415786530639,0.6639438712686796,0.5663967645417831,0.5932064079661732,0.3215667625175106,0.584353096470406,0.5926357569828054,0.6502529990814917,0.6084363966459415,0.13373037300166213,6,0.9672106278602695,0.9627492308081336,0.9660416579639102,0.9653109891797848,0.9711893761813416,0.9637794543413433,0.9690694704232405,0.9644143949179959,0.9657335618567213,0.9660868869725777,0.9661585650505318,0.002369239153351892,-9.108363060156504,-10.332579957644144,-19.982924454609556,-14.045570282936096,-13.99566398779551,-14.10358595723691,-17.979812670168673,-10.456784880264944,-15.29492919921875,-15.861219555398693,-14.116143400542978,3.264745954801851,8,-4.969924689378784,-5.17099369618565,-4.9622540745125,-5.055187963241649,-4.614117926828104,-5.263609426471423,-4.820691376722084,-5.037821885684751,-5.04033876464052,-5.037050293931422,-4.997199009759689,0.17015061002251283
7,0.23416218757629395,0.005458415704173949,0.0010044574737548828,3.183579994735811e-05,1,300,0.5,12,0.08,800,0.6,0.8,10,"{'subsample': 1, 'n_estimators': 300, 'min_child_weight': 0.5, 'max_depth': 12, 'learning_rate': 0.08, 'gamma': 800, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'alpha': 10}",0.7940764579106914,0.8027975979430871,0.5345624678489355,0.6555616903733547,0.5700781330380347,0.5717491682154503,0.3159124115075401,0.5830948694751761,0.61660492282874,0.6663509736464008,0.6110788692787411,0.1312621194447823,3,0.9649323556980279,0.9689446223527216,0.9661087846453292,0.9667431734420875,0.9702952005445982,0.9635079450903963,0.9685036230517703,0.9648964757249963,0.967663010406969,0.9643613666826669,0.9665956557639562,0.0021076634098559626,-9.453127930959065,-10.708067082564035,-19.24942748864492,-14.24694012562434,-13.961862233479819,-14.547399359993312,-18.11441059361334,-10.246511146711265,-14.857780258344569,-15.178257635365362,-14.056378385530001,3.0420187834038233,5,-5.17059703248372,-4.791092835738195,-4.8971488533652785,-4.925227465380988,-4.729048217122589,-5.269895831953805,-4.888641618647665,-5.0037672837725236,-4.918660763209721,-5.121108951208727,-4.971518885288321,0.16148066816087073
8,0.25109286308288575,0.0039026025196040046,0.0010558366775512695,0.00010331776351595813,1,300,0.5,13,0.08,800,0.6,0.8,10,"{'subsample': 1, 'n_estimators': 300, 'min_child_weight': 0.5, 'max_depth': 13, 'learning_rate': 0.08, 'gamma': 800, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'alpha': 10}",0.8057029601461367,0.8027982687974649,0.5345624678489355,0.6636582532819904,0.5524196810727157,0.5829438513437143,0.2957841630007759,0.5734403143055569,0.5741272499501068,0.6517003470204576,0.6037137556767854,0.1381257347750637,9,0.9663086506739946,0.965905915437779,0.9661087846453292,0.9667619351990784,0.9694136204448793,0.9653193370777696,0.9723821880309722,0.9635688710399164,0.9668809144250363,0.9676384101040997,0.9670288627078854,0.0022875779397733657,-9.017538675467172,-10.761090876261392,-19.24942748864492,-14.258195322354632,-14.258958227634428,-14.243123047870137,-18.27207843780518,-10.678244754957115,-16.00253332718559,-15.49435245016347,-14.223554260834405,3.13197942375985,10,-5.009753025877532,-4.962794224074666,-4.8971488533652785,-4.958273080220155,-4.829249916980617,-5.054580453431831,-4.519964554804676,-5.162699471734604,-5.016464405419692,-4.89955201877738,-4.931048000468643,0.16298949050558717
9,0.2685516119003296,0.0047790019957588414,0.001012706756591797,2.1251964002261494e-05,1,300,0.5,14,0.08,800,0.6,0.8,10,"{'subsample': 1, 'n_estimators': 300, 'min_child_weight': 0.5, 'max_depth': 14, 'learning_rate': 0.08, 'gamma': 800, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'alpha': 10}",0.8179314151014859,0.8118710500075059,0.5345624678489355,0.6529762640626844,0.590296502894897,0.5912759865965105,0.3021321664817117,0.5749985134423041,0.5783072033177975,0.6517003470204576,0.6106051916774291,0.13820686955906625,4,0.9666325079671856,0.9691848264997364,0.9661087846453292,0.9675951749388242,0.9677190313010744,0.9671053984885057,0.9709161348585003,0.9641224387572398,0.9669408128465244,0.9676384101040997,0.967396352040702,0.0017041632026277617,-8.71933891693751,-10.307132802009582,-19.24942748864492,-14.391112254460651,-13.711123779614766,-14.205710275069526,-17.768819608273716,-10.588361883578091,-15.75660842978436,-15.49435245016347,-14.01919878885366,3.1704294018533763,4,-5.023065636033695,-4.736835416278568,-4.8971488533652785,-4.96502211545881,-4.916887160206293,-5.037992506387099,-4.579455035497557,-5.000748778559126,-5.033403310505849,-4.89955201877738,-4.909011083106965,0.13971935552763684
