,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_ccp_alpha,param_max_depth,param_max_features,param_min_impurity_decrease,param_min_samples_leaf,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,split5_train_r2,split6_train_r2,split7_train_r2,split8_train_r2,split9_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,split5_train_neg_mean_absolute_error,split6_train_neg_mean_absolute_error,split7_train_neg_mean_absolute_error,split8_train_neg_mean_absolute_error,split9_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
70,1.01556921,0.004880628,0.061794519,0.004834652,TRUE,0,13,0.2,0.01,2,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 13, 'max_features': 0.2, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'n_estimators': 800}",0.157934582,0.508498694,0.59721994,0.562396925,0.473912081,0.483209482,0.610415799,0.392528037,0.379495107,0.447115522,0.461272617,0.125479297,27,0.782826218,0.753590756,0.752917592,0.759008606,0.770477445,0.76481053,0.760921393,0.760163391,0.760358809,0.755626133,0.762070088,0.008505637,-7.956353979,-7.543081118,-6.032576747,-7.343855348,-7.830179271,-7.685397804,-7.039162977,-11.24443781,-8.576935055,-8.14516925,-7.939714936,1.280895909,67,-5.105842087,-5.282912049,-5.521217171,-5.41674973,-5.293502259,-5.25995422,-5.513998799,-5.098242309,-5.280562477,-5.385838598,-5.31588197,0.139258062
71,0.998539829,0.006497171,0.059227777,0.003543081,TRUE,0,13,0.2,0.01,3,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 13, 'max_features': 0.2, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 3, 'n_estimators': 800}",0.191659828,0.433251042,0.521282139,0.538855982,0.481206499,0.435902856,0.550346594,0.355382174,0.347445218,0.355880661,0.421121299,0.105464396,126,0.683129209,0.661192115,0.648666592,0.662316102,0.6683943,0.655920577,0.663987984,0.662218097,0.667063787,0.664723765,0.663761253,0.008419398,-8.101348349,-8.272311569,-6.783803511,-7.916959885,-8.130060576,-8.547669781,-7.78079996,-11.93912506,-9.135645154,-8.751491239,-8.535921508,1.281966374,149,-6.379865085,-6.444979817,-6.793944898,-6.577782945,-6.548918648,-6.545927344,-6.732436591,-6.254158182,-6.472632362,-6.527308963,-6.527795484,0.14921448
72,1.147854066,0.022967607,0.068274617,0.010895059,TRUE,0,13,0.3,0,1,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 13, 'max_features': 0.3, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'n_estimators': 800}",0.074811293,0.60592919,0.654867907,0.492707643,0.446261041,0.520026353,0.587297593,0.391262133,0.403235787,0.551214106,0.472761305,0.155994914,22,0.934741735,0.924454885,0.92539313,0.929875527,0.927659726,0.927422883,0.92492342,0.927833976,0.925652506,0.925847852,0.927380564,0.002908254,-7.928395069,-6.351990018,-4.951783653,-6.979442277,-7.444830771,-6.792944992,-6.256111886,-10.24274973,-8.079177121,-7.260258758,-7.228768427,1.322724333,6,-2.61312494,-2.724936729,-2.832709839,-2.748020351,-2.675537172,-2.71552324,-2.890473863,-2.585276777,-2.729413055,-2.750870789,-2.726588675,0.086458933
73,1.066315866,0.007034191,0.058562064,0.00322574,TRUE,0,13,0.3,0,2,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 13, 'max_features': 0.3, 'min_impurity_decrease': 0, 'min_samples_leaf': 2, 'n_estimators': 800}",0.132888642,0.52194456,0.60439893,0.582690962,0.482876516,0.488293681,0.604905312,0.3738373,0.355637155,0.440092202,0.458756526,0.137025903,30,0.825784737,0.798841921,0.796228694,0.805078759,0.806870104,0.805301006,0.799393606,0.802751718,0.802973167,0.799203416,0.804242713,0.007867129,-7.630512989,-7.193055152,-5.780236091,-7.024915574,-7.383044882,-7.406108032,-6.486792187,-11.18708228,-8.703620037,-8.018459779,-7.6813827,1.390205265,45,-4.420722438,-4.553354689,-4.828446168,-4.709282375,-4.607935459,-4.553584996,-4.828880585,-4.422748618,-4.568393102,-4.672258393,-4.616560682,0.137093372
74,1.046935391,0.019368106,0.060789728,0.00457884,TRUE,0,13,0.3,0,3,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 13, 'max_features': 0.3, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'n_estimators': 800}",0.173898371,0.458978475,0.553558008,0.565628414,0.495865872,0.4566325,0.526782807,0.356208491,0.31782598,0.372888634,0.427826755,0.116510358,107,0.742914398,0.70474285,0.713348079,0.712097975,0.718468366,0.712564666,0.711632319,0.715512497,0.715602831,0.713180605,0.716006459,0.009584789,-7.639481015,-7.863043901,-6.276256168,-7.443493701,-7.696299851,-8.02708043,-7.520160311,-11.6985515,-9.295842499,-8.466570414,-8.192677979,1.376875707,107,-5.523892766,-5.766318879,-5.887152051,-5.878114101,-5.851819213,-5.779904942,-5.999078636,-5.503034367,-5.708442669,-5.762988499,-5.766074612,0.148398155
75,1.115466332,0.009459732,0.063694549,0.006864966,TRUE,0,13,0.3,0.01,1,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 13, 'max_features': 0.3, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 800}",0.091473254,0.605914832,0.671473916,0.498011105,0.474271252,0.505220076,0.591910474,0.393359466,0.420275595,0.549673769,0.480158374,0.152615475,17,0.93098055,0.921950282,0.924573171,0.925137139,0.926945448,0.927125318,0.920828173,0.927080456,0.923236238,0.921056578,0.924891335,0.003063434,-7.913823439,-6.492864975,-4.936296585,-6.994845776,-7.335314335,-6.90283967,-6.096047259,-10.3690559,-7.847739928,-7.425166443,-7.23139943,1.341814969,7,-2.747967192,-2.823592437,-2.919580729,-2.864551762,-2.815377064,-2.765287756,-2.963291646,-2.65504093,-2.806461694,-2.887319129,-2.824847034,0.085053993
76,1.058439684,0.005706226,0.061024022,0.003919871,TRUE,0,13,0.3,0.01,2,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 13, 'max_features': 0.3, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'n_estimators': 800}",0.133607044,0.537030251,0.597041626,0.570280528,0.499441833,0.487714744,0.570709131,0.402362751,0.330577044,0.444545096,0.457331005,0.133502237,35,0.823926838,0.797944575,0.801656451,0.805742635,0.809221889,0.800751921,0.798981514,0.803951178,0.800587882,0.797051874,0.803981676,0.007517961,-7.612365139,-7.103523643,-5.780574116,-7.025806903,-7.26353504,-7.423288688,-6.931780357,-10.94930229,-8.819386522,-8.025897228,-7.693545992,1.314390056,48,-4.442731254,-4.608306234,-4.780961928,-4.680213569,-4.602222046,-4.637268113,-4.863945107,-4.402178708,-4.620147288,-4.704482106,-4.634245635,0.131822915
77,1.042257118,0.025287278,0.062008858,0.005976018,TRUE,0,13,0.3,0.01,3,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 13, 'max_features': 0.3, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 3, 'n_estimators': 800}",0.156523944,0.467758798,0.513334423,0.561430063,0.486571342,0.460168781,0.541286543,0.358140136,0.330309915,0.380890198,0.425641414,0.115867289,115,0.733738266,0.70972378,0.710972672,0.706273184,0.71770034,0.712547962,0.713109383,0.717200967,0.716278428,0.713856886,0.715140187,0.007041345,-7.725519821,-7.826332875,-6.491672745,-7.478538033,-7.777169197,-7.912927921,-7.454267172,-11.70447699,-9.003226781,-8.415636536,-8.178976807,1.326256884,104,-5.595998074,-5.752168772,-5.966332131,-5.938352493,-5.861967176,-5.720921567,-5.971615937,-5.515504818,-5.674421161,-5.790486267,-5.77877684,0.149181635
78,1.241825628,0.005096013,0.060876989,0.003575479,TRUE,0,13,0.5,0,1,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 13, 'max_features': 0.5, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'n_estimators': 800}",0.019546867,0.594077343,0.683280035,0.483949056,0.490407223,0.509426363,0.55831706,0.34582455,0.371346164,0.572446777,0.462862144,0.17575407,25,0.935190183,0.925054762,0.924257479,0.929855248,0.930052262,0.928544235,0.922866165,0.931965844,0.924683073,0.922612195,0.927508145,0.004025232,-8.210782712,-6.632682334,-4.724158873,-7.011502933,-7.342220342,-6.92180381,-6.205739026,-10.76093805,-8.417609268,-7.242753186,-7.347019054,1.501451299,13,-2.636904303,-2.729716755,-2.818506505,-2.725647164,-2.721073673,-2.70236845,-2.917055,-2.559574795,-2.726093651,-2.831540965,-2.736848126,0.095526751
79,1.156462622,0.009724555,0.065571237,0.008247707,TRUE,0,13,0.5,0,2,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 13, 'max_features': 0.5, 'min_impurity_decrease': 0, 'min_samples_leaf': 2, 'n_estimators': 800}",0.094260261,0.527526251,0.64412211,0.57147609,0.513943959,0.50838072,0.547153765,0.333205245,0.296197177,0.487659031,0.452392461,0.155110991,51,0.861066245,0.831902272,0.830615778,0.839386167,0.843857484,0.837808138,0.836123939,0.83785363,0.833622098,0.833607046,0.83858428,0.008358351,-7.651533846,-7.005484507,-5.30768254,-6.988287552,-7.059183998,-7.154126642,-6.74374452,-11.40676496,-9.133878272,-7.729672879,-7.618035972,1.551363221,37,-3.821842382,-4.068755642,-4.242538279,-4.150476896,-3.991694738,-4.073054531,-4.272914705,-3.886033064,-4.078725696,-4.128362896,-4.071439883,0.135074286
