,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,WOOD
123,2510,170,8,6,4,8004,P,1932,1919 - 1945,29.24
124,2510,170,8,6,4,8004,P,1932,1919 - 1945,29.24
125,2680,181,8,6,4,8004,P,1932,1919 - 1945,31.22
126,2540,170,7,6,4,8004,P,1932,1919 - 1945,29.59
127,2540,170,8,6,4,8004,P,1933,1919 - 1945,29.59
128,3040,201,8,6,4,8004,P,1933,1919 - 1945,35.41
129,2720,172,8,6,4,8004,P,1933,1919 - 1945,31.69
130,3445,199,10,7,4,8004,P,1931,1919 - 1945,40.13
131,3130,182,10,7,4,8004,P,1931,1919 - 1945,36.46
132,3570,205,10,7,4,8004,P,1931,1919 - 1945,41.59
133,3155,181,10,7,4,8004,P,1931,1919 - 1945,36.75
134,3090,205,8,6,4,8004,P,1933,1919 - 1945,36.0
135,3090,205,8,6,4,8004,P,1933,1919 - 1945,36.0
136,3090,206,8,6,4,8004,P,1933,1919 - 1945,36.0
137,2780,185,8,6,4,8004,P,1933,1919 - 1945,32.39
138,481,68,1,4,11,8052,P,1938,1919 - 1945,4.26
139,608,120,1,4,11,8052,M,1938,1919 - 1945,5.27
142,981,87,1,4,7,8053,P,1928,1919 - 1945,8.55
143,1664,181,5,5,2,8002,P,1953,1946 - 1960,51.52
144,2018,205,8,6,2,8002,P,1953,1946 - 1960,62.48
145,640,109,1,3,8,8008,P,1939,1919 - 1945,5.84
146,676,108,1,3,8,8008,P,1940,1919 - 1945,6.16
147,2008,224,5,5,9,8048,P,1945,1919 - 1945,7.41
151,1661,170,6,5,9,8048,P,1948,1946 - 1960,61.0
152,1644,169,6,5,9,8048,P,1948,1946 - 1960,60.38
153,1734,170,6,5,9,8048,P,1948,1946 - 1960,63.68
154,1986,194,6,5,9,8048,P,1948,1946 - 1960,72.94
156,547,94,1,3,9,8048,P,1942,1919 - 1945,2.02
161,622,95,1,3,9,8047,F,1950,1946 - 1960,3.89
172,548,63,2,5,6,8006,O,1919,1919 - 1945,7.0
173,1480,104,3,5,9,8048,P,1927,1919 - 1945,60.85
174,505,70,1,4,9,8048,P,1928,1919 - 1945,21.76
175,2260,177,8,5,7,8044,P,1934,1919 - 1945,15.55
176,1415,130,2,4,3,8055,P,1923,1919 - 1945,17.54
181,760,70,1,4,3,8045,P,1927,1919 - 1945,8.77
182,416,59,1,4,11,8052,P,1936,1919 - 1945,11.96
185,2310,216,4,6,9,8048,P,1929,1919 - 1945,26.31
187,1199,136,1,4,7,8044,P,1925,1919 - 1945,17.54
188,703,113,1,4,7,8053,P,1948,1946 - 1960,17.1
189,1339,149,6,5,7,8044,P,1951,1946 - 1960,7.41
190,2297,175,8,6,7,8032,O,1930,1919 - 1945,40.9
191,2451,176,11,6,7,8032,O,1930,1919 - 1945,43.58
192,2434,175,10,6,7,8032,O,1930,1919 - 1945,43.29
193,2352,174,8,6,7,8032,O,1930,1919 - 1945,41.86
194,2550,173,10,6,7,8032,O,1930,1919 - 1945,45.31
195,226,69,2,1,6,8057,P,1948,1946 - 1960,0.77
196,1729,165,6,5,6,8057,P,1948,1946 - 1960,5.91
197,1431,149,6,5,6,8057,P,1948,1946 - 1960,4.89
198,1721,165,6,5,6,8057,P,1948,1946 - 1960,5.89
199,1488,149,6,5,6,8057,P,1948,1946 - 1960,5.09
200,1720,166,6,5,6,8057,P,1948,1946 - 1960,5.88
201,1490,148,6,5,6,8057,P,1948,1946 - 1960,5.1
202,993,98,3,5,6,8057,P,1948,1946 - 1960,3.4
203,1523,150,6,5,6,8057,P,1947,1946 - 1960,5.21
204,1490,150,6,5,6,8057,P,1947,1946 - 1960,5.1
205,1110,151,4,4,6,8057,P,1947,1946 - 1960,3.8
206,1512,150,6,5,6,8057,P,1947,1946 - 1960,5.17
207,1496,149,6,5,6,8057,P,1947,1946 - 1960,5.12
208,1110,151,4,4,6,8057,P,1947,1946 - 1960,3.8
209,1454,151,6,5,6,8057,P,1946,1946 - 1960,4.97
210,1421,149,6,4,6,8057,P,1946,1946 - 1960,4.86
211,1417,149,6,4,6,8057,P,1946,1946 - 1960,4.85
214,825,104,1,4,11,8052,P,1934,1919 - 1945,8.1
215,2240,208,9,5,9,8047,P,1940,1919 - 1945,19.29
216,2077,193,9,5,3,8055,P,1942,1919 - 1945,60.0
219,730,111,1,3,9,8055,P,1933,1919 - 1945,11.82
221,2272,208,6,5,9,8048,P,1950,1946 - 1960,12.06
222,2872,263,9,5,9,8048,P,1950,1946 - 1960,15.07
223,534,115,1,4,7,8053,P,1951,1946 - 1960,13.15
226,1430,211,1,2,2,8002,P,1926,1919 - 1945,68.73
227,1535,274,1,5,2,8002,F,1926,1919 - 1945,73.77
229,593,70,1,4,9,8048,P,1912,1900 - 1919,26.31
230,1089,169,1,4,7,8044,P,1950,1946 - 1960,2.08
231,1748,134,1,5,7,8044,P,1928,1919 - 1945,10.36
232,777,91,1,4,6,8006,O,1925,1919 - 1945,10.44
233,563,66,1,4,6,8006,O,1925,1919 - 1945,7.56
234,583,78,1,4,10,8049,P,1908,1900 - 1919,6.38
235,1343,178,2,4,10,8049,M,1929,1919 - 1945,30.0
239,530,84,1,3,7,8053,P,1952,1946 - 1960,11.4
241,750,87,1,4,9,8048,P,1926,1919 - 1945,12.95
242,375,55,1,2,9,8048,P,1943,1919 - 1945,6.58
243,1705,166,6,5,9,8048,P,1951,1946 - 1960,20.0
248,1850,205,12,6,6,8006,P,1937,1919 - 1945,10.0
257,743,120,2,4,11,8050,M,1920,1919 - 1945,20.0
258,850,141,1,3,2,8038,P,1931,1919 - 1945,15.0
259,1270,146,1,3,11,8050,P,1909,1900 - 1919,37.1
260,1253,171,1,4,11,8050,M,1938,1919 - 1945,6.58
261,1807,159,11,5,11,8050,P,1939,1919 - 1945,25.19
262,1873,158,6,5,11,8050,P,1939,1919 - 1945,26.11
265,424,98,1,2,11,8050,F,1906,1900 - 1919,5.96
271,882,135,1,4,10,8049,P,1934,1919 - 1945,5.0
272,615,83,1,4,10,8049,P,1933,1919 - 1945,17.1
274,1259,161,4,4,11,8046,P,1957,1946 - 1960,13.47
275,1516,157,6,5,11,8046,P,1957,1946 - 1960,16.22
276,1460,156,6,4,11,8046,P,1957,1946 - 1960,15.62
277,802,115,2,3,11,8046,P,1957,1946 - 1960,8.58
278,1256,160,4,4,11,8046,P,1957,1946 - 1960,13.44
279,1796,187,6,5,11,8046,P,1956,1946 - 1960,19.22
280,1763,186,6,5,11,8046,P,1956,1946 - 1960,18.86
281,1345,187,4,4,11,8046,P,1956,1946 - 1960,14.39
282,1306,187,4,4,11,8046,P,1956,1946 - 1960,13.97
283,1145,162,4,4,11,8046,P,1956,1946 - 1960,12.25
284,1350,144,6,5,11,8046,P,1956,1946 - 1960,14.45
285,1357,145,6,4,11,8046,P,1956,1946 - 1960,14.52
286,961,131,1,4,11,8046,P,1949,1946 - 1960,24.3
287,700,136,1,3,11,8046,F,1972,1971 - 1980,17.7
288,552,88,1,4,10,8049,P,1950,1946 - 1960,10.36
289,447,68,1,4,10,8049,P,1939,1919 - 1945,5.18
290,870,121,2,4,10,8049,P,1939,1919 - 1945,65.77
292,915,103,1,4,2,8002,P,1944,1919 - 1945,18.0
294,843,91,2,4,11,8052,P,1935,1919 - 1945,31.32
295,1387,202,5,4,11,8052,P,1940,1919 - 1945,29.23
297,2278,188,8,6,9,8048,P,1930,1919 - 1945,11.34
298,2301,187,8,6,9,8048,P,1930,1919 - 1945,11.46
300,2701,215,13,6,11,8052,P,1939,1919 - 1945,10.0
302,1290,271,1,3,11,8052,P,1950,1946 - 1960,2.01
303,2235,172,8,6,11,8052,P,1948,1946 - 1960,3.48
304,2235,172,8,6,11,8052,P,1948,1946 - 1960,3.48
305,2249,173,8,6,11,8052,P,1948,1946 - 1960,3.5
306,2247,173,8,6,11,8052,P,1948,1946 - 1960,3.5
307,2247,173,8,6,11,8052,P,1948,1946 - 1960,3.5
308,2261,174,8,6,11,8052,P,1948,1946 - 1960,3.52
309,1765,170,6,5,11,8052,P,1948,1946 - 1960,2.75
310,1764,170,6,5,11,8052,P,1948,1946 - 1960,2.75
312,1070,134,1,5,9,8047,P,1930,1919 - 1945,17.54
317,1945,174,5,5,6,8057,P,1934,1919 - 1945,3.21
318,1945,174,6,5,6,8057,P,1934,1919 - 1945,3.21
319,1945,175,5,5,6,8057,P,1934,1919 - 1945,3.21
320,1945,175,6,5,6,8057,P,1934,1919 - 1945,3.21
321,2790,251,6,5,6,8057,P,1933,1919 - 1945,4.61
322,1723,174,6,4,6,8057,P,1934,1919 - 1945,2.85
323,2167,175,6,5,6,8057,P,1934,1919 - 1945,3.58
324,2790,251,6,4,6,8057,P,1933,1919 - 1945,4.61
326,863,104,2,4,9,8048,P,1914,1900 - 1919,9.0
327,698,79,1,4,10,8049,P,1933,1919 - 1945,35.08
328,1737,154,6,5,2,8038,P,1950,1946 - 1960,21.42
329,1760,156,6,5,2,8038,P,1950,1946 - 1960,21.7
330,1754,155,6,5,2,8038,P,1950,1946 - 1960,21.63
331,1743,154,6,5,2,8038,P,1950,1946 - 1960,21.49
332,2172,156,8,6,2,8038,P,1950,1946 - 1960,26.78
333,2171,156,8,6,2,8038,P,1950,1946 - 1960,26.77
334,1799,160,6,5,2,8038,P,1950,1946 - 1960,22.18
335,1867,166,6,5,2,8038,P,1950,1946 - 1960,23.02
336,1856,165,6,5,2,8038,P,1950,1946 - 1960,22.89
337,2149,192,6,5,2,8038,P,1950,1946 - 1960,26.5
338,1914,171,6,5,2,8038,P,1950,1946 - 1960,23.6
339,2190,144,12,5,2,8038,P,1965,1961 - 1970,27.01
340,530,64,1,4,2,8038,P,1938,1919 - 1945,3.95
343,1770,221,6,4,12,8051,P,1955,1946 - 1960,57.0
345,1010,176,1,5,12,8050,P,1953,1946 - 1960,10.0
346,424,73,1,4,10,8049,P,1936,1919 - 1945,11.4
