,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,split5_train_r2,split6_train_r2,split7_train_r2,split8_train_r2,split9_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,split5_train_neg_mean_absolute_error,split6_train_neg_mean_absolute_error,split7_train_neg_mean_absolute_error,split8_train_neg_mean_absolute_error,split9_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
0,0.03185772895812988,0.0026400041722265456,0.0006844282150268554,5.0469451515454054e-05,0.9,0.1,10,0.2,80,0.83,0.12,"{'subsample': 0.9, 'min_child_weight': 0.1, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 80, 'colsample_bytree': 0.83, 'colsample_bylevel': 0.12}",-0.05659525771908536,0.6077714191882041,0.44884809606129894,0.26810725592617535,0.48755883957543633,0.4085968189978566,0.4929061039395376,0.41403603071123973,0.4936576328705702,0.6548145103998517,0.4219701449951085,0.18891118246874095,627,0.9681690726876618,0.9683959427756705,0.9635199021409703,0.9625070803719984,0.966211173343375,0.9630592882809802,0.960630281585597,0.959947728389009,0.9612682390241054,0.9664581130801793,0.9640166821679547,0.002936272661442582,-9.12150281791687,-6.772376493453979,-6.949633412933349,-8.389354837735494,-7.533080771962801,-8.079155710935593,-6.782173603177071,-10.53145178159078,-7.137453126112619,-7.053277121384938,-7.8349459677203495,1.1620312659969478,825,-2.1525586235413856,-2.1336699304886912,-2.3070038884932837,-2.308059308300279,-2.128508086335169,-2.218378398712367,-2.3902234579330166,-2.3092960682089467,-2.2703423124034656,-2.1506416781090167,-2.236868175252562,0.0878340046376826
1,0.03272850513458252,0.002430294022180543,0.0006899595260620117,3.0114720471835708e-05,0.85,0.1,10,0.2,80,0.83,0.12,"{'subsample': 0.85, 'min_child_weight': 0.1, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 80, 'colsample_bytree': 0.83, 'colsample_bylevel': 0.12}",-0.1374468042980752,0.60740505008679,0.44502130263868056,0.4271139225495886,0.42206835697417666,0.48401641556111796,0.36579989213121544,0.4250524741166134,0.4611685857127237,0.6557183228261568,0.4155917518298988,0.2026508026867326,803,0.965064882082535,0.9683978817399878,0.9659685799986952,0.9653577527553026,0.9654365203369676,0.9601996121407848,0.9630994525371852,0.9589201081238289,0.9597719689989677,0.9622549269432664,0.9634471685657522,0.0029526642772567673,-9.708925123214721,-7.070732751178741,-6.493697375106811,-7.794413170615833,-7.476007637182872,-7.596307636896769,-7.948286226193109,-10.537378461360932,-7.313252971569697,-6.661637623310089,-7.860063897662957,1.2264048978451194,903,-2.2729183520417693,-2.108850553440391,-2.234801386551026,-2.1489348800215002,-2.190481088760237,-2.314301160045955,-2.3981336086090295,-2.3475445884547823,-2.2321150349917476,-2.3357440810878525,-2.258382473400429,0.08774878174542376
2,0.03297116756439209,0.00190841947074455,0.0007512092590332032,5.7151753185350516e-05,0.8,0.1,10,0.2,80,0.83,0.12,"{'subsample': 0.8, 'min_child_weight': 0.1, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 80, 'colsample_bytree': 0.83, 'colsample_bylevel': 0.12}",-0.15002777378553445,0.5201755692807749,0.4148154733758118,0.3830439619625007,0.4280966260398468,0.49703508225595194,0.27316742722106624,0.32792735176666266,0.5001317719242142,0.6498398589874335,0.3844205349028728,0.20469124313205428,1257,0.9646948539192928,0.9610078181265005,0.9645606937794101,0.9634537955208672,0.9587460764282608,0.9627118089187767,0.9623403965300646,0.9588120756339379,0.9545819169411017,0.967493051202356,0.9618402487000568,0.003510514516077334,-10.083498450660706,-7.673842908477783,-7.147574731445312,-8.032661285400392,-7.3240219517548875,-7.314021246035893,-8.479080142180125,-11.44159259200096,-7.766004803180695,-7.1938090697924295,-8.245610718092916,1.351964558873465,1291,-2.30155114018589,-2.3374274750805775,-2.308027976641961,-2.2549352547022847,-2.389827653479903,-2.299857633473122,-2.4031919260765315,-2.372840567614934,-2.503089966360292,-2.1393823294879093,-2.3310131923103405,0.09216682735369182
3,0.03413236141204834,0.001445207142724256,0.0008017301559448242,4.2782823941810794e-05,0.9,0.1,11,0.2,80,0.83,0.12,"{'subsample': 0.9, 'min_child_weight': 0.1, 'max_depth': 11, 'learning_rate': 0.2, 'gamma': 80, 'colsample_bytree': 0.83, 'colsample_bylevel': 0.12}",-0.0043901534631298755,0.6415424754782217,0.5150074164082332,0.41735408594765344,0.5155969357643082,0.41105870187311144,0.37493595128200874,0.35143233287404674,0.4296661172569828,0.6377338887206914,0.42899377521421284,0.1734546325201814,477,0.9671984480909817,0.969172906646611,0.9654917407802011,0.9675401378936094,0.9632508732785636,0.9616546517011917,0.968426269967914,0.9588003999822952,0.9617973921703049,0.9677351449882837,0.9651067965499956,0.003331505053139206,-9.218942657852173,-6.367411338233947,-6.312669821166992,-7.220271984338761,-7.489768027067185,-8.17065458257993,-7.6076910654703775,-10.727044715881348,-7.725121101538341,-7.0210557194550836,-7.786063101358413,1.2673817512880767,656,-2.173004799304752,-2.1193204269059205,-2.29100574029695,-2.1668522246460933,-2.297466256564066,-2.3051473270921403,-2.0809272684680815,-2.2977328035711695,-2.152340017083573,-2.1654313855846175,-2.2049228249517365,0.08008028660279307
4,0.03482930660247803,0.0019240471097840787,0.0007814407348632812,5.709457457993482e-05,0.85,0.1,11,0.2,80,0.83,0.12,"{'subsample': 0.85, 'min_child_weight': 0.1, 'max_depth': 11, 'learning_rate': 0.2, 'gamma': 80, 'colsample_bytree': 0.83, 'colsample_bylevel': 0.12}",-0.156833825591151,0.5855907470823047,0.5679684312542637,0.4344564884951687,0.33924522441317906,0.5116546859247917,0.41419273146025803,0.46408458767368344,0.3479652752460558,0.5581814100207406,0.40665057559792944,0.20534393766804732,977,0.9700052075968972,0.9716026948117519,0.964310594033882,0.9650137569807076,0.9666231170349975,0.9621096930708516,0.9675752517682115,0.9644282087931851,0.9645350881455801,0.9708508078006346,0.9667054420036697,0.0030402824258149172,-9.235583626174927,-6.79287396697998,-6.258121078872681,-7.45705143292745,-7.769958389798799,-7.199735136429468,-7.457791379094124,-10.08518984357516,-8.079351348082225,-7.418419488668441,-7.7754075690603255,1.071831156157183,627,-2.1153013002325634,-2.032328892191616,-2.3346802493191636,-2.243420807956016,-2.104096093961637,-2.2046474663416546,-2.2212855302471004,-2.144346130797852,-2.1643319956897056,-2.0317216490828285,-2.1596160115820138,0.09020107319845691
5,0.034618926048278806,0.002449522216708655,0.0008177042007446289,0.00010574018806261602,0.8,0.1,11,0.2,80,0.83,0.12,"{'subsample': 0.8, 'min_child_weight': 0.1, 'max_depth': 11, 'learning_rate': 0.2, 'gamma': 80, 'colsample_bytree': 0.83, 'colsample_bylevel': 0.12}",-0.1390148621113041,0.67115787277921,0.5619302758660042,0.402190972701578,0.4874704102697509,0.4105387567621449,0.2653550084156714,0.35467808841150206,0.49637379111555213,0.5878239639445935,0.4098504278154703,0.21490247914122107,918,0.9653651758470271,0.9672745683200725,0.964131943068,0.9658137427736079,0.9626561853913472,0.9590312912956395,0.9652339007820587,0.9660868849737478,0.9598024556111286,0.9680619810984193,0.9643458129161049,0.0028493557540957394,-9.743669277572632,-6.547338421630859,-6.550461248779296,-7.884279084205628,-6.7696970381339385,-8.025597096482914,-8.355827504793803,-11.187826426823932,-7.880494497617086,-7.701566754976909,-8.064675735101698,1.3831062042460185,1243,-2.2703794791282865,-2.155232774795742,-2.2931694337315514,-2.1889011552671316,-2.2388251429387966,-2.383436905564783,-2.301710601473508,-2.177706562830433,-2.2838985744241165,-2.2315500908246326,-2.252481072097898,0.0650010667969772
6,0.03595964908599854,0.0030025012217633914,0.0008008480072021484,7.599832961064986e-05,0.9,0.1,12,0.2,80,0.83,0.12,"{'subsample': 0.9, 'min_child_weight': 0.1, 'max_depth': 12, 'learning_rate': 0.2, 'gamma': 80, 'colsample_bytree': 0.83, 'colsample_bylevel': 0.12}",-0.2370438569460125,0.6775819348148395,0.4842408677844704,0.38854355427774023,0.47535775639038846,0.4297124947733343,0.2646354619939407,0.4054956840412428,0.4743545212489044,0.5969560450768365,0.3959834463455685,0.23646959976670706,1129,0.9710674346525486,0.9695178920531051,0.9682956355721043,0.9679770332830875,0.9686785700151215,0.9615421551213388,0.9684045575798883,0.9642142276566285,0.9683335438281773,0.969131923593044,0.9677162973355043,0.0026277113006389335,-9.386400505828856,-6.080323717498779,-6.48856662902832,-7.499286922613781,-7.346159323851268,-7.980395499865215,-8.457765408754348,-11.115212532083193,-7.0701865088939675,-7.2415781672795605,-7.866587521569729,1.405210517296456,928,-2.0890105740958393,-2.0637988649377035,-2.1031858070837246,-2.181637119528365,-2.039220863760334,-2.35527868270874,-2.1934866932429133,-2.1633716434757457,-1.9718253297566277,-2.055002643463274,-2.121581822205327,0.10174421470594434
7,0.03507530689239502,0.001751886585563526,0.0009012222290039062,0.00032932491742588296,0.85,0.1,12,0.2,80,0.83,0.12,"{'subsample': 0.85, 'min_child_weight': 0.1, 'max_depth': 12, 'learning_rate': 0.2, 'gamma': 80, 'colsample_bytree': 0.83, 'colsample_bylevel': 0.12}",0.046311073954242055,0.5949879519772795,0.42332174638580355,0.4462071805031609,0.3925689017054297,0.4745513911900556,0.4077695571174703,0.36260754196624134,0.49855107068515137,0.569982888790779,0.4216859304275613,0.1437951871669678,636,0.9712665236340026,0.9708184100932501,0.9687394995997147,0.9678844751944943,0.9660656620042882,0.9660123808770864,0.9703408245137034,0.9642174958319931,0.9644953379144582,0.9669779592040997,0.9676818568867092,0.0024283323805698704,-8.435826966476439,-6.862631022071837,-6.675698280334472,-7.494069334665935,-8.095082730849585,-7.280242844422658,-7.68180276910464,-10.650573649803798,-7.091954975128175,-7.605665281216304,-7.787354785407383,1.0805110468538233,659,-2.0783843778032773,-2.093320214879622,-2.151817925484902,-2.1373428034020336,-2.2050569036344414,-2.1730094919248257,-2.1058449260502647,-2.1867815930440546,-2.099983645791877,-2.152406542486252,-2.138394842450155,0.040655615453419634
8,0.03505563735961914,0.0015015189132450456,0.0007158279418945313,3.0431066019479994e-05,0.8,0.1,12,0.2,80,0.83,0.12,"{'subsample': 0.8, 'min_child_weight': 0.1, 'max_depth': 12, 'learning_rate': 0.2, 'gamma': 80, 'colsample_bytree': 0.83, 'colsample_bylevel': 0.12}",-0.07409288425107619,0.6352790890594331,0.3621875874962084,0.43199842693874446,0.3366043437662959,0.445121458683988,0.422005844931608,0.2896910607706833,0.44552347377623047,0.5340475101004036,0.3828365911272519,0.17843109612610064,1272,0.9688199622416517,0.9691996304910434,0.9647304799901214,0.968464374927566,0.9670412772150728,0.9633140316366483,0.964701835795163,0.9638328411712561,0.9651918943042863,0.9699328554635408,0.9665229183236349,0.0023225221273983137,-9.820962434768678,-6.900801042556762,-7.619562837219238,-7.608306996822358,-7.614961529771487,-7.529274486104647,-7.3022912840048475,-11.51928168833256,-8.008354367812474,-7.8729190087318415,-8.17967156761249,1.3325793492082323,1285,-2.13203002041633,-2.1559069293135895,-2.315611820636539,-2.113268224572482,-2.0842311204840605,-2.1329216616338793,-2.2277696083887526,-2.162986143604261,-2.163001130160676,-2.100119168834599,-2.1587845828045173,0.0646944474141732
9,0.03809208869934082,0.0035820085460808167,0.0008148193359375,7.677472145921922e-05,0.9,0.1,13,0.2,80,0.83,0.12,"{'subsample': 0.9, 'min_child_weight': 0.1, 'max_depth': 13, 'learning_rate': 0.2, 'gamma': 80, 'colsample_bytree': 0.83, 'colsample_bylevel': 0.12}",-0.17399813690377997,0.6598859457371353,0.43228015272687026,0.3251332168425445,0.5124214089309892,0.4363689354615077,0.33414901357962834,0.3952503444036891,0.4538661731969186,0.6589751683665263,0.4034332222342029,0.2217732233681108,1028,0.9718080604287455,0.9695506767185763,0.9715719885472762,0.9671224915092689,0.9661930463088069,0.9692689127396191,0.9719692097182737,0.9671846486075372,0.9676215203972686,0.9695725091130799,0.9691863064088452,0.0020068007742457586,-9.615188789749146,-6.32531395816803,-7.018335477066039,-7.715158244768779,-7.762706090609233,-7.993344055215519,-7.4673215194543205,-10.578908033370972,-7.472060122887293,-7.061261481444041,-7.9009597772733375,1.2046134151043715,1027,-2.033845171228461,-2.0799639884922483,-2.027928038583983,-2.139870764501563,-2.211334363946087,-2.0319329999244378,-2.013153560346664,-2.056946592396253,-2.0038189146616685,-2.1029750566177716,-2.0701769450699135,0.06192883962876384
