,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_min_impurity_decrease,param_max_features,param_max_depth,param_ccp_alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
0,0.7982149124145508,0.3632401216819726,0.04867110252380371,0.017424870270043743,400,1,0,sqrt,11,0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 'sqrt', 'max_depth': 11, 'ccp_alpha': 0}",0.4307834399044772,0.5698603982705926,0.504453552682346,0.342090233004825,0.13043747329722855,0.3955250194318939,0.15272726632880831,6,0.8897707751832079,0.8796090054830066,0.8878853877169447,0.8986530319502889,0.919986907616167,0.8951810215899231,0.013801243153524108,-1.1919234010746331,-1.3057903239798576,-1.3177683147277555,-1.3377994787388376,-1.6969538838569547,-1.3700470804756075,0.17117126580217726,7,-0.6621205587900163,-0.6047978667404755,-0.6050648628280184,-0.5919062107893628,-0.504694721073186,-0.5937168440442118,0.05071262477212184
1,0.5317048072814942,0.013945817129004579,0.030826425552368163,0.0012685823254058298,400,1,0,0.4,11,0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 0.4, 'max_depth': 11, 'ccp_alpha': 0}",0.44381607523216793,0.6051558559804777,0.4856518528636642,0.34859096720958527,0.10794427289305752,0.3982318048357905,0.16689446809797467,4,0.8966516044386922,0.9042899111853673,0.9001427949671166,0.8989313765792576,0.9231590684429063,0.904634951122668,0.009588597695460273,-1.161102142461759,-1.2573436986699944,-1.3180642720182973,-1.393858611600543,-1.7269872956115644,-1.3714712040724315,0.19340393859632954,9,-0.6120761215035344,-0.5326166970461719,-0.5597373168972437,-0.5828897222129484,-0.4804175449833063,-0.5535474805286409,0.044968807424153844
2,0.5021914482116699,0.009073272862540576,0.034395456314086914,0.002493846056308011,400,1,0,sqrt,12,0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 'sqrt', 'max_depth': 12, 'ccp_alpha': 0}",0.49327244047432794,0.5821677149956084,0.4998294646411765,0.336811523041772,0.1239657184433961,0.40720937231925614,0.1623444360105297,2,0.8903631800245417,0.8975795953572502,0.8978216175270547,0.9077611240234996,0.9198319962715705,0.9026715026407833,0.010211077303572232,-1.114781417426644,-1.2936922899693075,-1.3099993899766402,-1.3371681646689735,-1.676713797605474,-1.3464710119294079,0.1827253027682272,2,-0.6381720238580603,-0.5607036886951117,-0.5731730312596888,-0.5548808915322166,-0.48266700270705604,-0.5619193276104266,0.04954405694702078
3,0.5323729038238525,0.0047729576406616465,0.032841157913208005,0.002708812717515107,400,1,0,0.4,12,0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 0.4, 'max_depth': 12, 'ccp_alpha': 0}",0.4806816991345818,0.5982788602150362,0.4923712064453766,0.3750589834997172,0.09051679940559787,0.407381509740062,0.17348542018717342,1,0.8961111741867476,0.9048481498357613,0.9005493588869163,0.909531731497456,0.9219000278024131,0.9065880884418588,0.008858666882999206,-1.1159346696425514,-1.261149841912222,-1.3201855936245124,-1.3419107651643496,-1.7379828517385065,-1.3554327444164282,0.20689049456124683,5,-0.6038573774405632,-0.5369912433135265,-0.554627527953796,-0.543200634132329,-0.47930602672497297,-0.5435965619130376,0.0398248867097226
4,0.49781408309936526,0.006129355349064484,0.03655376434326172,0.005496841166036316,400,1,0,sqrt,13,0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 'sqrt', 'max_depth': 13, 'ccp_alpha': 0}",0.4576617836312048,0.565563151686073,0.49850010538015965,0.33620785508164064,0.09914844230938313,0.3914162676176922,0.1641042378841937,9,0.8988415503001292,0.9027358481126596,0.9000921958850017,0.9088839425175766,0.9232767129796526,0.906766049959004,0.008951737398270048,-1.143759180015458,-1.2930773523477277,-1.3006669929763703,-1.3433662263615433,-1.6753745213261257,-1.351248854605445,0.17556423161760398,4,-0.5972675488589761,-0.5463518736725115,-0.5567303601686963,-0.5496230996685078,-0.4806500505417263,-0.5461245865820835,0.03748944157163066
5,0.5418089866638184,0.01771472679355511,0.032141256332397464,0.002138425928206854,400,1,0,0.4,13,0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 0.4, 'max_depth': 13, 'ccp_alpha': 0}",0.4641221460938585,0.5787329829802188,0.503791248441265,0.3635519352205402,0.09101119364721721,0.40024190127661996,0.16948864467806257,3,0.8990279049650859,0.9037982671516263,0.9028758040221507,0.9143409495245614,0.9209873145104022,0.9082060480347651,0.00816181515063928,-1.1448456193841767,-1.2873602238860145,-1.3005192891814188,-1.3401288042295685,-1.7353228526110953,-1.3616353578584548,0.19816893584434617,6,-0.5942965689316014,-0.532912600629186,-0.5452436862241621,-0.532574935690062,-0.478542724665009,-0.5367141032280041,0.036888989024991096
6,0.501404857635498,0.008015131524254813,0.03177628517150879,0.0029494524448234333,400,1,0,sqrt,14,0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 'sqrt', 'max_depth': 14, 'ccp_alpha': 0}",0.468405294933808,0.5789033623567491,0.49106426920012214,0.33198135056370115,0.09592096047488985,0.3932550475058541,0.16842893195136877,7,0.8999733351619225,0.9009195906758999,0.9104582407296207,0.9126481635633997,0.9282086850769987,0.9104416030415683,0.010205799744212601,-1.1354858721135836,-1.2894217161350974,-1.2797641470453427,-1.3115448944799661,-1.692867134527655,-1.3418167528603289,0.18618321835770915,1,-0.5893364018129161,-0.5355424241883283,-0.5347839133016293,-0.5366481541981974,-0.46779135666696786,-0.5328204500336079,0.03859728342794019
7,0.5374442577362061,0.009678310194307307,0.03781905174255371,0.00901164342217051,400,1,0,0.4,14,0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 0.4, 'max_depth': 14, 'ccp_alpha': 0}",0.3944423332263697,0.5929444385385043,0.48210289547516905,0.35898553172858194,0.0915433485877728,0.38400370951127955,0.16706143500481832,10,0.9002204092864134,0.9015905180427709,0.8990528104617489,0.9092917984984574,0.9259078248778214,0.9072126722334424,0.010009147830057574,-1.198768920318156,-1.2807603509740701,-1.321133757946605,-1.3228954878544394,-1.739630705343962,-1.3726378444874465,0.1889352320238597,10,-0.5933695953423852,-0.5330799711796947,-0.5356750780164795,-0.5383528346343938,-0.4609279362965564,-0.532281083093902,0.04212386847642131
8,0.504800271987915,0.007013940918945058,0.03399467468261719,0.0059080101021646006,400,1,0,sqrt,15,0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 'sqrt', 'max_depth': 15, 'ccp_alpha': 0}",0.45879612085484367,0.5791033668194221,0.4906958500152252,0.3288092842591873,0.10407094085942004,0.39229511256161964,0.16498850665603443,8,0.9072513763813442,0.9060954973349323,0.9089069437084222,0.9183566695885688,0.9272913416300267,0.9135803657286589,0.008108318853364625,-1.145569548054764,-1.2867237285122917,-1.2910584198485215,-1.3481159151891997,-1.6784046015722587,-1.3499744426354074,0.1772698140858655,3,-0.581953180219256,-0.5285234526954454,-0.5299090623601321,-0.5186639900412798,-0.45575097783713,-0.5229601326306487,0.04023666275308554
9,0.5373929500579834,0.0063008997947511065,0.03237681388854981,0.003720209786052086,400,1,0,0.4,15,0,"{'n_estimators': 400, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 0.4, 'max_depth': 15, 'ccp_alpha': 0}",0.43150789410379264,0.5924866405619893,0.48800226114315226,0.35434007081593877,0.11685149461263322,0.39663767224750124,0.1599935193366412,5,0.90210334858206,0.9053088957608142,0.9048383772537663,0.9079639030822683,0.9227711216469904,0.9085971292651799,0.007326839963604322,-1.1739960230472892,-1.2826465328690124,-1.3307429197146925,-1.3577084627760216,-1.7064925483230893,-1.3703172973460211,0.1794252597210752,8,-0.5762483525782017,-0.5170345337883454,-0.5341185809228864,-0.5393505976623073,-0.4660293607590896,-0.5265562851421661,0.035900854141717314
