,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,GLASS
222,2872,263,9,5,9,8048,P,1950,1946 - 1960,7.93
223,534,115,1,4,7,8053,P,1951,1946 - 1960,0.77
228,1475,163,1,3,7,8032,P,1925,1919 - 1945,3.21
230,1089,169,1,4,7,8044,P,1950,1946 - 1960,0.42
231,1748,134,1,5,7,8044,P,1928,1919 - 1945,2.27
235,1343,178,2,4,10,8049,M,1929,1919 - 1945,0.5
238,971,117,1,4,9,8048,M,1930,1919 - 1945,1.0
239,530,84,1,3,7,8053,P,1952,1946 - 1960,2.5
241,750,87,1,4,9,8048,P,1926,1919 - 1945,2.27
248,1850,205,12,6,6,8006,P,1937,1919 - 1945,4.0
258,850,141,1,3,2,8038,P,1931,1919 - 1945,1.0
259,1270,146,1,3,11,8050,P,1909,1900 - 1919,2.5
260,1253,171,1,4,11,8050,M,1938,1919 - 1945,9.62
265,424,98,1,2,11,8050,F,1906,1900 - 1919,0.44
273,1600,191,5,5,10,8049,P,1951,1946 - 1960,1.54
274,1259,161,4,4,11,8046,P,1957,1946 - 1960,6.93
275,1516,157,6,5,11,8046,P,1957,1946 - 1960,8.34
276,1460,156,6,4,11,8046,P,1957,1946 - 1960,8.03
277,802,115,2,3,11,8046,P,1957,1946 - 1960,4.41
278,1256,160,4,4,11,8046,P,1957,1946 - 1960,6.91
279,1796,187,6,5,11,8046,P,1956,1946 - 1960,9.88
280,1763,186,6,5,11,8046,P,1956,1946 - 1960,9.7
281,1345,187,4,4,11,8046,P,1956,1946 - 1960,7.4
282,1306,187,4,4,11,8046,P,1956,1946 - 1960,7.19
283,1145,162,4,4,11,8046,P,1956,1946 - 1960,6.3
284,1350,144,6,5,11,8046,P,1956,1946 - 1960,7.43
285,1357,145,6,4,11,8046,P,1956,1946 - 1960,7.47
286,961,131,1,4,11,8046,P,1949,1946 - 1960,1.16
287,700,136,1,3,11,8046,F,1972,1971 - 1980,0.84
