,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,ROOFTILE
259,1270,146,1,3,11,8050,P,1909,1900 - 1919,16.0
261,1807,159,11,5,11,8050,P,1939,1919 - 1945,33.39
262,1873,158,6,5,11,8050,P,1939,1919 - 1945,34.61
265,424,98,1,2,11,8050,F,1906,1900 - 1919,1.78
273,1600,191,5,5,10,8049,P,1951,1946 - 1960,11.54
274,1259,161,4,4,11,8046,P,1957,1946 - 1960,11.55
275,1516,157,6,5,11,8046,P,1957,1946 - 1960,13.9
276,1460,156,6,4,11,8046,P,1957,1946 - 1960,13.39
277,802,115,2,3,11,8046,P,1957,1946 - 1960,7.36
278,1256,160,4,4,11,8046,P,1957,1946 - 1960,11.52
279,1796,187,6,5,11,8046,P,1956,1946 - 1960,16.47
280,1763,186,6,5,11,8046,P,1956,1946 - 1960,16.17
281,1345,187,4,4,11,8046,P,1956,1946 - 1960,12.34
282,1306,187,4,4,11,8046,P,1956,1946 - 1960,11.98
283,1145,162,4,4,11,8046,P,1956,1946 - 1960,10.5
284,1350,144,6,5,11,8046,P,1956,1946 - 1960,12.38
285,1357,145,6,4,11,8046,P,1956,1946 - 1960,12.45
287,700,136,1,3,11,8046,F,1972,1971 - 1980,26.13
288,552,88,1,4,10,8049,P,1950,1946 - 1960,23.18
289,447,68,1,4,10,8049,P,1939,1919 - 1945,6.18
290,870,121,2,4,10,8049,P,1939,1919 - 1945,31.38
292,915,103,1,4,2,8002,P,1944,1919 - 1945,2.62
293,800,86,1,4,6,8006,O,1923,1919 - 1945,34.0
294,843,91,2,4,11,8052,P,1935,1919 - 1945,18.68
295,1387,202,5,4,11,8052,P,1940,1919 - 1945,13.08
297,2278,188,8,6,9,8048,P,1930,1919 - 1945,16.91
298,2301,187,8,6,9,8048,P,1930,1919 - 1945,17.09
300,2701,215,13,6,11,8052,P,1939,1919 - 1945,5.0
302,1290,271,1,3,11,8052,P,1950,1946 - 1960,8.39
303,2235,172,8,6,11,8052,P,1948,1946 - 1960,14.54
304,2235,172,8,6,11,8052,P,1948,1946 - 1960,14.54
305,2249,173,8,6,11,8052,P,1948,1946 - 1960,14.63
306,2247,173,8,6,11,8052,P,1948,1946 - 1960,14.62
307,2247,173,8,6,11,8052,P,1948,1946 - 1960,14.62
308,2261,174,8,6,11,8052,P,1948,1946 - 1960,14.71
309,1765,170,6,5,11,8052,P,1948,1946 - 1960,11.48
310,1764,170,6,5,11,8052,P,1948,1946 - 1960,11.48
317,1945,174,5,5,6,8057,P,1934,1919 - 1945,6.71
318,1945,174,6,5,6,8057,P,1934,1919 - 1945,6.71
319,1945,175,5,5,6,8057,P,1934,1919 - 1945,6.71
320,1945,175,6,5,6,8057,P,1934,1919 - 1945,6.71
321,2790,251,6,5,6,8057,P,1933,1919 - 1945,9.62
322,1723,174,6,4,6,8057,P,1934,1919 - 1945,5.94
323,2167,175,6,5,6,8057,P,1934,1919 - 1945,7.47
324,2790,251,6,4,6,8057,P,1933,1919 - 1945,9.62
327,698,79,1,4,10,8049,P,1933,1919 - 1945,26.15
328,1737,154,6,5,2,8038,P,1950,1946 - 1960,6.39
329,1760,156,6,5,2,8038,P,1950,1946 - 1960,6.47
330,1754,155,6,5,2,8038,P,1950,1946 - 1960,6.45
331,1743,154,6,5,2,8038,P,1950,1946 - 1960,6.41
332,2172,156,8,6,2,8038,P,1950,1946 - 1960,7.99
333,2171,156,8,6,2,8038,P,1950,1946 - 1960,7.98
334,1799,160,6,5,2,8038,P,1950,1946 - 1960,6.62
335,1867,166,6,5,2,8038,P,1950,1946 - 1960,6.87
336,1856,165,6,5,2,8038,P,1950,1946 - 1960,6.83
337,2149,192,6,5,2,8038,P,1950,1946 - 1960,7.9
338,1914,171,6,5,2,8038,P,1950,1946 - 1960,7.04
339,2190,144,12,5,2,8038,P,1965,1961 - 1970,8.05
340,530,64,1,4,2,8038,P,1938,1919 - 1945,3.01
342,2282,198,6,5,9,8047,P,1938,1919 - 1945,19.62
343,1770,221,6,4,12,8051,P,1955,1946 - 1960,34.0
345,1010,176,1,5,12,8050,P,1953,1946 - 1960,28.0
364,1178,106,3,5,11,8046,P,1968,1961 - 1970,8.5
365,1125,128,2,4,2,8038,P,1936,1919 - 1945,15.69
372,1596,238,1,3,9,8048,P,1949,1946 - 1960,13.08
373,1672,192,4,4,9,8048,P,1950,1946 - 1960,10.28
374,1372,163,4,4,9,8048,P,1950,1946 - 1960,8.44
375,1388,165,4,4,9,8048,P,1950,1946 - 1960,8.54
376,2120,193,6,5,9,8048,P,1950,1946 - 1960,13.01
377,1680,192,5,4,9,8048,P,1950,1946 - 1960,10.32
378,1351,186,4,3,9,8048,P,1950,1946 - 1960,8.31
379,2009,166,6,5,9,8048,P,1950,1946 - 1960,12.33
380,1680,195,5,4,9,8048,P,1950,1946 - 1960,10.32
381,1584,184,4,4,9,8048,P,1950,1946 - 1960,9.74
382,1776,165,6,5,9,8048,P,1950,1946 - 1960,10.91
383,1680,194,5,5,9,8048,P,1950,1946 - 1960,10.32
384,1579,184,4,4,9,8048,P,1950,1946 - 1960,9.71
385,1781,166,6,5,9,8048,P,1950,1946 - 1960,10.94
386,1527,167,5,4,9,8048,P,1950,1946 - 1960,9.39
387,1525,164,5,4,9,8048,P,1950,1946 - 1960,9.38
388,1280,162,4,4,9,8048,P,1950,1946 - 1960,7.88
389,1590,161,4,5,9,8048,P,1950,1946 - 1960,9.77
390,1529,166,5,4,9,8048,P,1950,1946 - 1960,9.4
394,329,85,1,2,9,8048,P,1950,1946 - 1960,0.81
395,1162,175,4,3,9,8048,P,1949,1946 - 1960,2.85
396,1227,176,4,3,9,8048,P,1949,1946 - 1960,3.01
397,300,84,1,2,9,8048,P,1950,1946 - 1960,0.74
398,1164,174,4,3,9,8048,P,1949,1946 - 1960,2.86
399,1192,174,5,3,9,8048,P,1949,1946 - 1960,2.93
400,327,84,1,2,9,8048,P,1950,1946 - 1960,0.81
401,1143,175,4,3,9,8048,P,1949,1946 - 1960,2.81
402,1172,176,5,3,9,8048,P,1949,1946 - 1960,2.88
403,1168,175,4,3,9,8048,P,1949,1946 - 1960,2.87
404,1202,173,5,3,9,8048,P,1949,1946 - 1960,2.95
405,1801,179,6,4,9,8048,P,1950,1946 - 1960,4.4
406,1953,183,6,4,9,8048,P,1950,1946 - 1960,4.77
