I_G,KS_G,I_ME,KS_ME,I_MI,KS_MI,I_W,KS_W,I_Z,KS_Z
196,0.220733652,189,0.185312679,177,0.177419355,77,0.182745203,89,0.219767442
36,0.221052632,108,0.187177281,63,0.177651427,127,0.1832819,123,0.219767442
125,0.221052632,41,0.187320711,194,0.180088188,196,0.1832819,83,0.220930233
2,0.222966507,55,0.187751004,97,0.181132513,53,0.183684422,165,0.220930233
64,0.222966507,128,0.188037866,157,0.181132513,93,0.183684422,169,0.220930233
151,0.222966507,84,0.188468158,27,0.181364586,7,0.184355293,188,0.220930233
168,0.222966507,102,0.189041882,95,0.181596658,123,0.184757816,112,0.222093023
141,0.223285486,75,0.19047619,44,0.181712694,99,0.185562861,49,0.223255814
118,0.225199362,125,0.19047619,36,0.182176839,71,0.185831209,111,0.223255814
171,0.225837321,106,0.192484223,94,0.182176839,50,0.18650208,113,0.223255814
157,0.229027113,115,0.193057946,178,0.182176839,176,0.18650208,158,0.223255814
192,0.231578947,190,0.19535284,122,0.183453237,9,0.187307125,172,0.225581395
185,0.233173844,90,0.195783133,53,0.183569274,191,0.187575473,186,0.225581395
140,0.235406699,184,0.197217441,2,0.184149455,73,0.188246344,48,0.226744186
5,0.235725678,192,0.199799197,172,0.184265491,184,0.188380518,18,0.229069767
135,0.235725678,64,0.200229489,42,0.184381527,160,0.189990608,12,0.230232558
107,0.236044657,163,0.200516351,135,0.18519378,33,0.190929827,45,0.230232558
3,0.237958533,79,0.200659782,162,0.185309817,134,0.190929827,65,0.230232558
191,0.239872408,170,0.200803213,80,0.185541889,19,0.191064001,92,0.230232558
35,0.241148325,191,0.202524383,56,0.187514505,45,0.191064001,57,0.231395349
115,0.241148325,7,0.205106139,64,0.188094686,141,0.191198175,163,0.231395349
153,0.241467305,3,0.205393001,161,0.188210722,185,0.191734872,5,0.23255814
31,0.242105263,0,0.205966724,136,0.191227663,101,0.192137394,17,0.23255814
149,0.245295056,101,0.207401033,21,0.191575772,61,0.192674091,129,0.23255814
136,0.248165869,129,0.207401033,70,0.192620097,183,0.194686703,179,0.23255814
85,0.248484848,149,0.207687894,29,0.194360641,70,0.196430967,61,0.236046512
143,0.249441786,157,0.208118187,91,0.195869111,187,0.197236012,7,0.238372093
21,0.250079745,8,0.209982788,77,0.198421908,129,0.19844358,47,0.238372093
33,0.250398724,89,0.210126219,146,0.19865398,190,0.19844358,53,0.238372093
72,0.250398724,114,0.210126219,34,0.19958227,22,0.199516973,136,0.238372093
148,0.250398724,197,0.210126219,127,0.200394523,10,0.200456192,167,0.238372093
45,0.251355662,34,0.21184739,124,0.201554885,128,0.200456192,170,0.238372093
170,0.251674641,45,0.21184739,60,0.201670921,182,0.200456192,124,0.239534884
26,0.25199362,109,0.212277682,31,0.20201903,137,0.201529585,155,0.239534884
69,0.2523126,160,0.212994836,43,0.202367139,44,0.204213069,23,0.240697674
87,0.253588517,96,0.213998853,50,0.202599211,6,0.204883939,143,0.241860465
146,0.255502392,158,0.214859438,185,0.202831283,189,0.2071649,140,0.243023256
106,0.255821372,103,0.215863454,55,0.203179392,56,0.208238293,132,0.244186047
22,0.25645933,145,0.215863454,150,0.203179392,197,0.208640816,106,0.245348837
131,0.25645933,148,0.216293746,12,0.203411464,78,0.20877499,162,0.245348837
73,0.258054226,122,0.216580608,54,0.203411464,199,0.209445861,59,0.246511628
176,0.258054226,185,0.218445209,109,0.203411464,35,0.209714209,43,0.248837209
163,0.259968102,57,0.219018933,173,0.205500116,139,0.209848383,1,0.25
165,0.260606061,59,0.219449225,132,0.205616152,42,0.209982557,131,0.25
99,0.264114833,19,0.220740103,40,0.206312369,171,0.21038508,178,0.252325581
16,0.266028708,123,0.220740103,134,0.206660478,144,0.210519254,11,0.253488372
173,0.266028708,131,0.221026965,46,0.20689255,30,0.213202737,25,0.253488372
42,0.269856459,134,0.221170396,72,0.20689255,37,0.213202737,120,0.253488372
8,0.270175439,198,0.221170396,176,0.20689255,170,0.213202737,31,0.256976744
98,0.270175439,172,0.224182444,101,0.209097238,2,0.213336911,115,0.256976744
7,0.271770335,14,0.225043029,166,0.209677419,8,0.214410305,160,0.256976744
111,0.271770335,187,0.22518646,149,0.209909492,84,0.214410305,185,0.256976744
4,0.272089314,92,0.225616753,155,0.210025528,192,0.214410305,81,0.258139535
6,0.272408293,176,0.226620769,67,0.210141564,20,0.214812827,161,0.258139535
